id,company_name,website_url,website_type,blacklisted
1,Point72,https://boards.greenhouse.io/point72,Greenhouse,False
3,Philo,https://boards.greenhouse.io/philo,Greenhouse,False
6,Airtable,https://boards.greenhouse.io/airtable,Greenhouse,False
7,Altera Digital Health Inc. United States,https://boards.greenhouse.io/alteradigitalhealth,Greenhouse,False
8,Alto Pharmacy,https://boards.greenhouse.io/alto,Greenhouse,False
9,ApolloIO,https://boards.greenhouse.io/apolloio,Greenhouse,False
10,AppLovin,https://boards.greenhouse.io/applovin,Greenhouse,False
11,Aquatic Capital,https://boards.greenhouse.io/aquaticcapitalmanagement,Greenhouse,False
12,Arcadia,https://boards.greenhouse.io/arcadiacareers,Greenhouse,False
13,Ascend Analytics,https://boards.greenhouse.io/ascendanalytics,Greenhouse,False
14,Atome Financial,https://boards.greenhouse.io/atome,Greenhouse,False
15,Axios,https://boards.greenhouse.io/axios,Greenhouse,False
16,BlastPoint,https://boards.greenhouse.io/blastpoint,Greenhouse,False
17,Blink Health,https://boards.greenhouse.io/blinkhealth,Greenhouse,False
18,Blue Rose Research,https://boards.greenhouse.io/blueroseresearch,Greenhouse,False
19,Blueground,https://boards.greenhouse.io/blueground,Greenhouse,False
20,Bottomline Technologies,https://boards.greenhouse.io/bottomlinetechnologies,Greenhouse,False
21,BrainStation,https://boards.greenhouse.io/brainstation,Greenhouse,False
22,Buyers Edge,https://boards.greenhouse.io/buyersedgeplatformrecruiting,Greenhouse,False
23,Canonical,https://boards.greenhouse.io/canonical,Greenhouse,False
24,Canonical,https://boards.greenhouse.io/canonicaljobs,Greenhouse,False
25,Capco,https://boards.greenhouse.io/capco,Greenhouse,False
26,CaseText,https://boards.greenhouse.io/casetext,Greenhouse,False
27,Chalk,https://boards.greenhouse.io/chalkinc,Greenhouse,False
28,Cityblock Health,https://boards.greenhouse.io/cityblockhealth,Greenhouse,False
29,Clearmatics,https://boards.greenhouse.io/clearmatics,Greenhouse,False
30,ClickUp,https://boards.greenhouse.io/clickup,Greenhouse,False
31,Cloudflare,https://boards.greenhouse.io/cloudflare,Greenhouse,False
32,CloudSEK,https://boards.greenhouse.io/cloudsek,Greenhouse,False
34,ComparaJá,https://boards.greenhouse.io/comparaja,Greenhouse,False
35,Contentive,https://boards.greenhouse.io/contentive,Greenhouse,False
36,Crystal Blockchain,https://boards.greenhouse.io/crystal,Greenhouse,False
